County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Clay County, Texas",10290,46.8,9461,27,731,95,75227,35847,925,89,5138,787,139700,48,077
"Cochran County, Texas",2529,37.4,1462,172,1539,2,41597,23748,640,82,1256,702,48000,48,079
"Coke County, Texas",3305,47.1,2853,55,762,5,40230,28397,524,42,2156,681,94900,48,081
"Coleman County, Texas",7808,48.4,6306,253,1428,96,51034,31249,1321,225,4927,684,91800,48,083
"Collin County, Texas",1079153,37.1,646170,112804,168844,183217,113255,52654,67718,24991,406932,1689,411100,48,085
"Collingsworth County, Texas",2865,38.3,1999,214,840,0,52045,33436,623,38,1516,651,89500,48,087
"Colorado County, Texas",20582,43.2,13966,2491,6463,70,63352,35002,1490,538,10064,892,172900,48,089
"Comal County, Texas",165201,41.7,131280,3795,47275,2145,93744,47280,9998,2941,70899,1390,369400,48,091
"Comanche County, Texas",13651,44.2,10200,59,3983,71,57383,31171,1816,489,6957,795,131800,48,093
"Concho County, Texas",3235,46.4,2451,136,1254,28,55750,24207,385,23,1424,927,92900,48,095
"Cooke County, Texas",41860,40.4,34831,1336,7967,369,66374,36275,5479,814,17698,1064,207100,48,097
"Coryell County, Texas",82927,32.2,53170,11319,16252,1761,63281,26699,7092,1928,28808,1046,153300,48,099
"Cottle County, Texas",1647,37.4,1227,109,389,0,47625,26081,397,31,1069,375,51400,48,101
"Crane County, Texas",4636,37.9,1871,109,3055,114,71364,31973,172,69,1817,913,117000,48,103
"Crockett County, Texas",2949,50.0,1247,11,1728,0,64103,35942,269,31,1855,583,181300,48,105
"Crosby County, Texas",5157,39.4,3790,156,2928,34,50268,30888,1192,121,2671,649,69600,48,107
"Culberson County, Texas",2181,47.5,986,4,1774,22,35924,29295,480,104,942,918,83300,48,109
"Dallam County, Texas",7165,30.8,5235,5,3432,0,71969,28936,600,101,3040,1105,113800,48,111
"Dallas County, Texas",2604053,33.8,1208531,585997,1066429,174466,70732,39172,359882,68708,1040669,1374,252200,48,113
"Dawson County, Texas",12342,34.0,7452,994,7228,20,45268,22002,2624,450,4892,805,95100,48,115
"Deaf Smith County, Texas",18585,32.0,11550,266,14010,86,51942,23310,2899,185,6983,842,107500,48,117
"Delta County, Texas",5278,40.6,4370,462,499,19,68491,34345,736,157,2435,875,163700,48,119
"Denton County, Texas",914870,36.5,591538,95197,180694,90293,104180,50470,66977,21048,351416,1496,377000,48,121
"DeWitt County, Texas",19826,41.7,12035,1548,7210,78,61100,29359,2959,413,9180,931,156700,48,123
"Dickens County, Texas",1570,47.9,1275,30,599,7,46638,28798,183,63,1082,533,67000,48,125
"Dimmit County, Texas",8672,36.4,3878,52,7628,82,27374,19505,3726,117,4018,664,75900,48,127
"Donley County, Texas",3298,40.3,2765,217,411,77,51711,25682,334,0,1954,711,98900,48,129
